"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 05월 08일","14,310.00","14,125.00","14,380.00","14,050.00","-","1.31%"
"2015년 05월 07일","14,125.00","13,960.00","14,195.00","13,740.00","-","1.18%"
"2015년 05월 06일","13,960.00","14,250.00","14,580.00","13,865.00","-","-2.00%"
"2015년 05월 05일","14,245.00","13,810.00","14,340.00","13,680.00","-","3.60%"
"2015년 05월 01일","13,750.00","13,910.00","13,960.00","13,730.00","-","-1.15%"
"2015년 04월 30일","13,910.00","13,455.00","13,950.00","13,420.00","-","3.38%"
"2015년 04월 29일","13,455.00","13,405.00","13,505.00","13,210.00","-","0.37%"
"2015년 04월 28일","13,405.00","13,440.00","13,530.00","13,270.00","-","-0.19%"
"2015년 04월 27일","13,430.00","13,225.00","13,675.00","13,225.00","-","1.36%"
"2015년 04월 24일","13,250.00","12,710.00","13,310.00","12,690.00","-","4.21%"
"2015년 04월 23일","12,715.00","12,660.00","12,790.00","12,530.00","-","0.47%"
"2015년 04월 22일","12,655.00","12,680.00","12,770.00","12,625.00","-","-0.20%"
"2015년 04월 21일","12,680.00","12,765.00","12,915.00","12,630.00","-","-0.70%"
"2015년 04월 20일","12,770.00","12,700.00","12,815.00","12,385.00","-","1.67%"
"2015년 04월 17일","12,560.00","12,750.00","12,845.00","12,550.00","-","-1.57%"
"2015년 04월 16일","12,760.00","12,675.00","12,930.00","12,605.00","-","0.67%"
"2015년 04월 15일","12,675.00","12,560.00","12,715.00","12,510.00","-","0.92%"
"2015년 04월 14일","12,560.00","12,445.00","12,630.00","12,200.00","-","0.60%"
"2015년 04월 13일","12,485.00","12,635.00","12,820.00","12,435.00","-","-1.58%"
"2015년 04월 10일","12,685.00","12,520.00","12,825.00","12,520.00","-","1.32%"
"2015년 04월 09일","12,520.00","12,575.00","12,740.00","12,475.00","-","-0.71%"
"2015년 04월 08일","12,610.00","12,610.00","12,835.00","12,570.00","-","-0.16%"
"2015년 04월 07일","12,630.00","12,980.00","13,185.00","12,555.00","-","-2.77%"
"2015년 04월 02일","12,990.00","12,700.00","13,070.00","12,610.00","-","2.28%"
"2015년 04월 01일","12,700.00","12,310.00","12,765.00","12,310.00","-","2.83%"
"2015년 03월 31일","12,350.00","12,775.00","12,880.00","12,340.00","-","-3.70%"
"2015년 03월 30일","12,825.00","13,260.00","13,340.00","12,790.00","-","-3.28%"
"2015년 03월 27일","13,260.00","13,655.00","13,750.00","13,260.00","-","-2.50%"
"2015년 03월 26일","13,600.00","13,660.00","13,980.00","13,600.00","-","-0.51%"
"2015년 03월 25일","13,670.00","13,925.00","14,015.00","13,620.00","-","-1.90%"
"2015년 03월 24일","13,935.00","14,325.00","14,375.00","13,930.00","-","-2.14%"
"2015년 03월 23일","14,240.00","14,105.00","14,355.00","14,080.00","-","0.85%"
"2015년 03월 20일","14,120.00","13,710.00","14,235.00","13,655.00","-","2.69%"
"2015년 03월 19일","13,750.00","13,605.00","13,775.00","13,605.00","-","0.70%"
"2015년 03월 18일","13,655.00","13,725.00","13,795.00","13,490.00","-","-0.51%"
"2015년 03월 17일","13,725.00","13,925.00","13,945.00","13,550.00","-","-1.44%"
"2015년 03월 16일","13,925.00","14,075.00","14,185.00","13,880.00","-","-1.49%"
"2015년 03월 13일","14,135.00","13,950.00","14,160.00","13,865.00","-","1.00%"
"2015년 03월 12일","13,995.00","13,725.00","14,065.00","13,725.00","-","1.60%"
"2015년 03월 11일","13,775.00","14,050.00","14,200.00","13,715.00","-","-1.75%"
"2015년 03월 10일","14,020.00","14,425.00","14,450.00","14,005.00","-","-2.74%"
"2015년 03월 09일","14,415.00","14,300.00","14,660.00","14,250.00","-","0.21%"
"2015년 03월 06일","14,385.00","14,100.00","14,390.00","14,030.00","-","1.77%"
"2015년 03월 05일","14,135.00","13,965.00","14,265.00","13,885.00","-","1.29%"
"2015년 03월 04일","13,955.00","13,675.00","13,990.00","13,610.00","-","2.05%"
"2015년 03월 03일","13,675.00","13,865.00","13,930.00","13,605.00","-","-1.44%"
"2015년 03월 02일","13,875.00","14,085.00","14,175.00","13,860.00","-","-1.35%"
"2015년 02월 27일","14,065.00","14,365.00","14,400.00","13,985.00","-","-2.09%"
"2015년 02월 26일","14,365.00","14,285.00","14,565.00","14,250.00","-","0.56%"
"2015년 02월 25일","14,285.00","14,290.00","14,465.00","14,250.00","-","-0.35%"
"2015년 02월 24일","14,335.00","14,115.00","14,515.00","14,030.00","-","1.56%"
"2015년 02월 23일","14,115.00","13,900.00","14,190.00","13,900.00","-","1.22%"
"2015년 02월 20일","13,945.00","13,920.00","14,175.00","13,875.00","-","-0.04%"
"2015년 02월 19일","13,950.00","14,205.00","14,270.00","13,910.00","-","-1.59%"
"2015년 02월 18일","14,175.00","14,180.00","14,300.00","14,050.00","-","-0.35%"
"2015년 02월 17일","14,225.00","14,550.00","14,550.00","14,080.00","-","-2.30%"
"2015년 02월 16일","14,560.00","14,610.00","14,710.00","14,500.00","-","-0.51%"
"2015년 02월 13일","14,635.00","14,710.00","14,855.00","14,600.00","-","-0.51%"
"2015년 02월 12일","14,710.00","14,705.00","14,820.00","14,540.00","-","0.03%"
"2015년 02월 11일","14,705.00","14,755.00","14,895.00","14,510.00","-","-0.37%"
"2015년 02월 10일","14,760.00","15,120.00","15,165.00","14,725.00","-","-2.67%"
"2015년 02월 09일","15,165.00","15,100.00","15,255.00","15,045.00","-","0.17%"
"2015년 02월 06일","15,140.00","15,050.00","15,205.00","14,900.00","-","0.33%"
"2015년 02월 05일","15,090.00","15,075.00","15,145.00","14,750.00","-","0.10%"
"2015년 02월 04일","15,075.00","15,375.00","15,425.00","14,850.00","-","-2.43%"
"2015년 02월 03일","15,450.00","15,255.00","15,490.00","15,250.00","-","1.31%"
"2015년 02월 02일","15,250.00","15,050.00","15,385.00","14,975.00","-","0.63%"
"2015년 01월 30일","15,155.00","14,860.00","15,165.00","14,710.00","-","1.99%"
"2015년 01월 29일","14,860.00","14,965.00","14,965.00","14,745.00","-","-0.60%"
"2015년 01월 28일","14,950.00","14,750.00","15,060.00","14,630.00","-","1.25%"
"2015년 01월 27일","14,765.00","14,690.00","14,820.00","14,475.00","-","0.14%"
"2015년 01월 26일","14,745.00","14,215.00","14,800.00","14,015.00","-","3.69%"
"2015년 01월 23일","14,220.00","14,790.00","14,830.00","14,205.00","-","-3.85%"
"2015년 01월 22일","14,790.00","15,090.00","15,155.00","14,610.00","-","-1.86%"
"2015년 01월 21일","15,070.00","14,755.00","15,115.00","14,675.00","-","2.31%"
"2015년 01월 20일","14,730.00","14,440.00","14,865.00","14,440.00","-","1.90%"
"2015년 01월 19일","14,455.00","14,730.00","14,755.00","14,415.00","-","-2.00%"
"2015년 01월 16일","14,750.00","14,401.00","14,796.00","14,401.00","-","2.15%"
"2015년 01월 15일","14,440.00","14,245.00","14,705.00","14,245.00","-","1.01%"
"2015년 01월 14일","14,295.00","14,500.00","14,638.00","13,940.00","-","-1.21%"
"2015년 01월 13일","14,470.00","15,100.00","15,125.00","14,465.00","-","-4.31%"
"2015년 01월 12일","15,122.00","15,320.00","15,350.00","15,020.00","-","-1.08%"
"2015년 01월 09일","15,287.00","15,540.00","15,668.00","15,270.00","-","-1.63%"
"2015년 01월 08일","15,540.00","15,455.00","15,576.00","15,261.00","-","0.06%"
"2015년 01월 07일","15,531.00","15,256.00","15,560.00","15,210.00","-","1.80%"
"2015년 01월 06일","15,256.00","15,035.00","15,521.00","15,035.00","-","0.87%"
"2015년 01월 05일","15,125.00","14,825.00","15,170.00","14,625.00","-","1.84%"
"2015년 01월 02일","14,852.00","15,151.00","15,215.00","14,820.00","-","-1.95%"
"2014년 12월 31일","15,148.00","15,052.00","15,219.00","14,925.00","-","0.64%"
"2014년 12월 30일","15,051.00","15,055.00","15,245.00","14,875.00","-","0.00%"
"2014년 12월 29일","15,051.00","15,220.00","15,450.00","15,035.00","-","-1.38%"
"2014년 12월 24일","15,262.00","15,440.00","15,613.00","15,220.00","-","-1.15%"
"2014년 12월 23일","15,440.00","15,536.00","15,681.00","15,418.00","-","-1.18%"
